"","bibkey","author","journal","year","vol","num","pages","title","doi"
"198","WOS198","Sprenger, Matthias; Oelmann, Yvonne; Weihermüller, Lutz; Wolf, Sebastian; Wilcke, Wolfgang; Potvin, Catherine","Forest Ecology and Management",2013,"309",NA,"76--86","Tree species and diversity effects on soil water seepage in a tropical plantation","10.1016/j.foreco.2013.03.022"
"199","WOS199","Pérès, G.; Cluzeau, D.; Menasseri, S.; Soussana, J. F.; Bessler, H.; Engels, C.; Habekost, M.; Gleixner, G.; Weigelt, A.; Weisser, W. W.; Scheu, S.; Eisenhauer, N.","Plant and Soil",2013,"373","1-2","285--299","Mechanisms linking plant community properties to soil aggregate stability in an experimental grassland plant diversity gradient","10.1007/s11104-013-1791-0"
"200","WOS200","Jiang, Jing; Li, Yikang; Wang, Mozhu; Zhou, Caiping; Cao, Guangmin; Shi, Peili; Song, Minghua","Plant and Soil",2013,"373","1-2","931--941","Litter species traits, but not richness, contribute to carbon and nitrogen dynamics in an alpine meadow on the Tibetan Plateau","10.1007/s11104-013-1859-x"
"201","WOS201","Long, Zachary T.; Fegley, Stephen R.; Peterson, Charles H.","Plant Ecology",2013,"214","12","1419--1429","Fertilization and plant diversity accelerate primary succession and restoration of dune communities","10.1007/s11258-013-0263-1"
"202","WOS202","Schwarzer, Christian; Heinken, Thilo; Luthardt, Vera; Joshi, Jasmin","Journal of Ecology",2013,"101","6","1484--1497","Latitudinal shifts in species interactions interfere with resistance of southern but not of northern bog-plant communities to experimental climate change","10.1111/1365-2745.12158"
"203","WOS203","Dahlin, Iris; Ninkovic, Velemir","Journal of Applied Ecology",2013,"50","5","1281--1288","Aphid performance and population development on their host plants is affected by weed-crop interactions","10.1111/1365-2664.12115"
"204","WOS204","Fließbach, Andreas; Nietlispach, Bruno; Messmer, Monika; Rodríguez-Romero, Ana-Sue; Mäder, Paul","Biology and Fertility of Soils",2013,"49","7","829--837","Microbial response of soils with organic and conventional management history to the cultivation of Bacillus thuringiensis (Bt)-maize under climate chamber conditions","10.1007/s00374-013-0776-8"
"205","WOS205","Marquard, Elisabeth; Schmid, Bernhard; Roscher, Christiane; De Luca, Enrica; Nadrowski, Karin; Weisser, Wolfgang W.; Weigelt, Alexandra","PLoS ONE",2013,"8","9","e75599","Changes in the Abundance of Grassland Species in Monocultures versus Mixtures and Their Relation to Biodiversity Effects","10.1371/journal.pone.0075599"
"206","WOS206","Sanderson, Matt A.; Brink, Geoffrey; Stout, Robert; Ruth, Leah","Agronomy Journal",2013,"105","5","1289","Grass-Legume Proportions in Forage Seed Mixtures and Effects on Herbage Yield and Weed Abundance","10.2134/agronj2013.0131"
"207","WOS207","Wilby, Andrew; Anglin, Linda A.; Nesbit, Christopher M.","PLoS ONE",2013,"8","8","e70258","Plant Species Composition Alters the Sign and Strength of an Emergent Multi-Predator Effect by Modifying Predator Foraging Behaviour","10.1371/journal.pone.0070258"
"208","WOS208","Kawaletz, Heike; Mölder, Inga; Zerbe, Stefan; Annighöfer, Peter; Terwei, André; Ammer, Christian","Journal of Plant Ecology",2013,"6","4","305--315","Exotic tree seedlings are much more competitive than natives but show underyielding when growing together","10.1093/jpe/rts044"
"209","WOS209","Carvahlo, Priscilla; Thomaz, Sidinei M.; Kobayashi, Josilaine T.; Bini, Mauricio B.","Austral Ecology",2013,"38","5","592--598","Species richness increases the resilience of wetland plant communities in a tropical floodplain","10.1111/aec.12003"
"210","WOS210","Vaz-Pinto, F.; Olabarria, C.; Gestoso, I.; Cacabelos, E.; Incera, M.; Arenas, F.","Biological Invasions",2013,"15","8","1833--1846","Functional diversity and climate change: effects on the invasibility of macroalgal assemblages","10.1007/s10530-013-0412-4"
"211","WOS211","Loranger, Jessy; Meyer, Sebastian T.; Shipley, Bill; Kattge, Jens; Loranger, Hannah; Roscher, Christiane; Wirth, Christian; Weisser, Wolfgang W.","Ecology",2013,"94","7","1499--1509","Predicting invertebrate herbivory from plant traits: Polycultures show strong nonadditive effects","10.1890/12-2063.1"
"212","WOS212","Kersch-Becker, Mônica F.; Buss, Sandra R.; Fonseca, Carlos R.","Biotropica",2013,"45","4","520--527","Conservation of an Ant-plant Mutualism in Native Forests and Ecologically-managed Tree Monocultures","10.1111/btp.12023"
"213","WOS213","Moreira, Xoaquín; Mooney, Kailen A.","Biology Letters",2013,"9","3","20130133","Influence of plant genetic diversity on interactions between higher trophic levels","10.1098/rsbl.2013.0133"
"214","WOS214","Straub, Cory S.; Simasek, Nathan P.; Gapinski, Mark R.; Dohm, Regan; Aikens, Ellen O.; Muscella, Sarah","Journal of Pest Science",2013,"86","2","235--244","Influence of nonhost plant diversity and natural enemies on the potato leafhopper, Empoasca fabae, and pea aphid, Acyrthosiphon pisum, in alfalfa","10.1007/s10340-012-0465-7"
"215","WOS215","Lee, Hyohyemi; Alday, Josu G.; Rose, Rob J.; O'Reilly, John; Marrs, Rob H.","Journal of Applied Ecology",2013,"50","3","625--635","Long-term effects of rotational prescribed burning and low-intensity sheep grazing on blanket-bog plant communities","10.1111/1365-2664.12078"
"216","WOS216","Cadotte, Marc W.","Proceedings of the National Academy of Sciences",2013,"110","22","8996--9000","Experimental evidence that evolutionarily diverse assemblages result in higher productivity",NA
"217","WOS217","Gustafsson, Camilla; Boström, Christoffer","PLoS ONE",2013,"8","5","e64064","Influence of Neighboring Plants on Shading Stress Resistance and Recovery of Eelgrass, Zostera marina L","10.1371/journal.pone.0064064"
"218","WOS218","Huang, Y.; Martin, L.M.; Isbell, F.I.; Wilsey, B.J.","Basic and Applied Ecology",2013,"14","3","199--207","Is community persistence related to diversity? A test with prairie species in a long-term experiment","10.1016/j.baae.2013.01.007"
"219","WOS219","Turnbull, Lindsay Ann; Levine, Jonathan M.; Loreau, Michel; Hector, Andy","Ecology Letters",2013,"16","s1","116--127","Coexistence, niches and biodiversity effects on ecosystem functioning","10.1111/ele.12056"
"220","WOS220","Lang'at, Joseph K. Sigi; Kirui, Bernard K. Y.; Skov, Martin W.; Kairo, James G.; Mencuccini, Maurizio; Huxham, Mark","Oecologia",2013,"172","1","271--278","Species mixing boosts root yield in mangrove trees","10.1007/s00442-012-2490-x"
"221","WOS221","de Mazancourt, Claire; Isbell, Forest; Larocque, Allen; Berendse, Frank; De Luca, Enrica; Grace, James B.; Haegeman, Bart; Wayne Polley, H.; Roscher, Christiane; Schmid, Bernhard; Tilman, David; van Ruijven, Jasper; Weigelt, Alexandra; Wilsey, Brian J.; Loreau, Michel","Ecology Letters",2013,"16","5","617--625","Predicting ecosystem stability from community composition and biodiversity","10.1111/ele.12088"
"222","WOS222","Guenay, Yasemin; Ebeling, Anne; Steinauer, Katja; Weisser, Wolfgang W.; Eisenhauer, Nico","Soil Biology and Biochemistry",2013,"60",NA,"122--124","Transgressive overyielding of soil microbial biomass in a grassland plant diversity gradient","10.1016/j.soilbio.2013.01.015"
"223","WOS223","Maire, Vincent; Soussana, Jean-François; Gross, Nicolas; Bachelet, Bruno; Pagès, Loïc; Martin, Raphaël; Reinhold, Tanja; Wirth, Christian; Hill, David","Ecological Modelling",2013,"254",NA,"80--91","Plasticity of plant form and function sustains productivity and dominance along environment and competition gradients. A modeling experiment with Gemini","10.1016/j.ecolmodel.2012.03.039"
"224","WOS224","Mueller, Kevin E.; Tilman, David; Fornara, Dario A.; Hobbie, Sarah E.","Ecology",2013,"94","4","787--793","Root depth distribution and the diversity-productivity relationship in a long-term grassland experiment","10.1890/12-1399.1"
"225","WOS225","Sapijanskas, Jurgis; Potvin, Catherine; Loreau, Michel","Ecology",2013,"94","4","941--952","Beyond shading: Litter production by neighbors contributes to overyielding in tropical trees","10.1890/12-0337.1"
"226","WOS226","Finn, John A.; Kirwan, Laura; Connolly, John; Sebastià, M. Teresa; Helgadottir, Aslaug; Baadshaug, Ole H.; Bélanger, Gilles; Black, Alistair; Brophy, Caroline; Collins, Rosemary P.; \vCop, Jure; Dalmannsdóttir, Sigridur; Delgado, Ignacio; Elgersma, Anjo; Fothergill, Michael; Frankow-Lindberg, Bodil E.; Ghesquiere, An; Golinska, Barbara; Golinski, Piotr; Grieu, Philippe; Gustavsson, Anne-Maj; Höglind, Mats; Huguenin-Elie, Olivier; Jørgensen, Marit; Kadziuliene, Zydre; Kurki, Päivi; Llurba, Rosa; Lunnan, Tor; Porqueddu, Claudio; Suter, Matthias; Thumm, Ulrich; Lüscher, Andreas","Journal of Applied Ecology",2013,"50","2","365--375","Ecosystem function enhanced by combining four functional types of plant species in intensively managed grassland mixtures: a 3-year continental-scale field experiment","10.1111/1365-2664.12041"
"227","WOS227","Mueller, Kevin E.; Hobbie, Sarah E.; Tilman, David; Reich, Peter B.","Global Change Biology",2013,"19","4","1249--1261","Effects of plant diversity, N fertilization, and elevated carbon dioxide on grassland soil N cycling in a long-term experiment","10.1111/gcb.12096"
"228","WOS228","Hendriks, Marloes; Mommer, Liesje; de Caluwe, Hannie; Smit-Tiekstra, Annemiek E.; van der Putten, Wim H.; de Kroon, Hans","Journal of Ecology",2013,"101","2","287--297","Independent variations of plant and soil mixtures reveal soil feedback effects on plant community overyielding","10.1111/1365-2745.12032"
"229","WOS229","Jiang, Yunfeng; Yin, Xiuqin; Wang, Fubin","European Journal of Soil Biology",2013,"55",NA,"28--39","The influence of litter mixing on decomposition and soil fauna assemblages in a Pinus koraiensis mixed broad-leaved forest of the Changbai Mountains, China","10.1016/j.ejsobi.2012.11.004"
"230","WOS230","Pausch, Johanna; Zhu, Biao; Kuzyakov, Yakov; Cheng, Weixin","Soil Biology and Biochemistry",2013,"57",NA,"91--99","Plant inter-species effects on rhizosphere priming of soil organic matter decomposition","10.1016/j.soilbio.2012.08.029"
"231","WOS231","Allan, Eric; Jenkins, Tania; Fergus, Alexander J. F.; Roscher, Christiane; Fischer, Markus; Petermann, Jana; Weisser, Wolfgang W.; Schmid, Bernhard","Ecology",2012,"94","2","465--477","Experimental plant communities develphylogenetically overdispersed distributions during assembly","10.1890/11-2279.1"
"232","WOS232","Daneshgar, Pedram P.; Polley, H. Wayne; Wilsey, Brian J.","Plant Ecology",2013,"214","2","231--241","Simple plant traits explain functional group diversity decline in novel grassland communities of Texas","10.1007/s11258-012-0162-x"
"233","WOS233","Schabhüttl, Stefanie; Hingsamer, Peter; Weigelhofer, Gabriele; Hein, Thomas; Weigert, Achim; Striebel, Maren","Oecologia",2013,"171","2","527--536","Temperature and species richness effects in phytoplankton communities","10.1007/s00442-012-2419-4"
"234","WOS234","Byun, Chaeho; de Blois, Sylvie; Brisson, Jacques","Journal of Ecology",2013,"101","1","128--139","Plant functional group identity and diversity determine biotic resistance to invasion by an exotic grass","10.1111/1365-2745.12016"
"235","WOS235","Brooks, Wesley R.; Jordan, Rebecca C.","Perspectives in Plant Ecology, Evolution and Systematics",2013,"15","3","162--170","Propagule pressure and native species richness effects drive invasibility in tropical dry forest seedling layers","10.1016/j.ppees.2013.03.001"
"236","WOS236","Verheyen, Kris","Plant Ecology and Evolution",2013,"146","1","26--35","Assessment of the functional role of tree diversity: the multi-site FORBIO experiment","10.5091/plecevo.2013.803"
"237","WOS237","Bennett, Ashley B.; Gratton, Claudio","Ecological Applications",2013,"23","1","86--95","Floral diversity increases beneficial arthropod richness and decreases variability in arthropod community composition","10.1890/11-2029.1"
"238","WOS238","Eggers, Sarah L.; Matthiessen, Birte","Marine Ecology Progress Series",2013,"473",NA,"67--77","Initial dominance in coccolithophore communities affects community structure but does not translate into altered community functioning","10.3354/meps10064"
"239","WOS239","Wang, Jiang; Zhang, Chong B.; Chen, Tong; Li, Wei H.","Oecologia",2013,"171","1","227--235","From selection to complementarity: the shift along the abiotic stress gradient in a controlled biodiversity experiment","10.1007/s00442-012-2400-2"
"240","WOS240","Perring, Michael P.; Standish, Rachel J.; Hulvey, Kristin B.; Lach, Lori; Morald, Tim K.; Parsons, Rebecca; Didham, Raphael K.; Hobbs, Richard J.","Agriculture, Ecosystems & Environment",2012,"163",NA,"14--27","The Ridgefield Multiple Ecosystem Services Experiment: Can restoration of former agricultural land achieve multiple outcomes?","10.1016/j.agee.2012.02.016"
"241","WOS241","Loranger, Jessy; Meyer, Sebastian T.; Shipley, Bill; Kattge, Jens; Loranger, Hannah; Roscher, Christiane; Weisser, Wolfgang W.","Ecology",2012,"93","12","2674--2682","Predicting invertebrate herbivory from plant traits: evidence from 51 grassland species in experimental monocultures","10.1890/12-0328.1"
"242","WOS242","Wang, Jinli; Li, Xiaoliang; Zhang, Junling; Yao, Ting; Wei, Dan; Wang, Yufeng; Wang, Jingguo","Plant Ecology",2012,"213","12","1883--1892","Effect of root exudates on beneficial microorganisms-evidence from a continuous soybean monoculture","10.1007/s11258-012-0088-3"
"243","WOS243","Beynon, Sarah A.; Mann, Darren J.; Slade, Eleanor M.; Lewis, Owen T.","Journal of Applied Ecology",2012,"49","6","1365--1372","Species-rich dung beetle communities buffer ecosystem services in perturbed agro-ecosystems","10.1111/j.1365-2664.2012.02210.x"
"244","WOS244","Janson, Anne L.; Denis, Lionel; Rauch, Mathieu; Desroy, Nicolas","Journal of Soils and Sediments",2012,"12","10","1568--1580","Macrobenthic biodiversity and oxygen uptake in estuarine systems: The example of the Seine estuary","10.1007/s11368-012-0557-2"
"245","WOS245","Khalsa, J.; Fricke, T.; Weisser, W. W.; Weigelt, A.; Wachendorf, M.","Grass and Forage Science",2012,"67","4","569--588","Effects of functional groups and species richness on biomass constituents relevant for combustion: results from a grassland diversity experiment","10.1111/j.1365-2494.2012.00884.x"
"246","WOS246","Dickson, Timothy L.; Hopwood, Jennifer L.; Wilsey, Brian J.","Biological Invasions",2012,"14","12","2617--2624","Do priority effects benefit invasive plants more than native plants? An experiment with six grassland species","10.1007/s10530-012-0257-2"
"247","WOS247","von Felten, Stefanie; Niklaus, Pascal A.; Scherer-Lorenzen, Michael; Hector, Andrew; Buchmann, Nina","Ecology",2012,"93","11","2386--2396","Do grassland plant communities profit from N partitioning by soil depth?","10.1890/11-1439.1"
"248","WOS248","Zhang, Dan; Min, Qingwen; Liu, Moucheng; Cheng, Shengkui","Frontiers of Environmental Science & Engineering",2012,"6","5","743--752","Ecosystem service tradeoff between traditional and modern agriculture: a case study in Congjiang County, Guizhou Province, China","10.1007/s11783-011-0385-4"
"249","WOS249","Roger, Fabian; Godhe, Anna; Gamfeldt, Lars","PLoS ONE",2012,"7","9","e45007","Genetic Diversity and Ecosystem Functioning in the Face of Multiple Stressors","10.1371/journal.pone.0045007"
"250","WOS250","Bessler, Holger; Oelmann, Yvonne; Roscher, Christiane; Buchmann, Nina; Scherer-Lorenzen, Michael; Schulze, Ernst D.; Temperton, Vicky M.; Wilcke, Wolfgang; Engels, Christof","Plant and Soil",2012,"358","1-2","301--322","Nitrogen uptake by grassland communities: Contribution of N2fixation, facilitation, complementarity, and species dominance","10.1007/s11104-012-1181-z"
"251","WOS251","Castagneyrol, Bastien; Lagache, Lélia; Giffard, Brice; Kremer, Antoine; Jactel, Hervé","PLoS ONE",2012,"7","8","e44247","Genetic Diversity Increases Insect Herbivory on Oak Saplings","10.1371/journal.pone.0044247"
"252","WOS252","Kulmatiski, A.; Beard, K. H.; Heavilin, J.","Proceedings of the Royal Society B: Biological Sciences",2012,"279","1740","3020--3026","Plant-soil feedbacks provide an additional explanation for diversity-productivity relationships","10.1098/rspb.2012.0285"
"253","WOS253","Postma, Johannes A.; Lynch, Jonathan P.","Annals of Botany",2012,"110","2","521--534","Complementarity in root architecture for nutrient uptake in ancient maize/bean and maize/bean/squash polycultures","10.1093/aob/mcs082"
"254","WOS254","Frankow-Lindberg, Bodil E.","Oecologia",2012,"169","3","793--802","Grassland plant species diversity decreases invasion by increasing resource use","10.1007/s00442-011-2230-7"
"255","WOS255","Kostenko, Olga",NA,2014,NA,NA,"231","Insects on individual plants : plant quality, plant diversity and aboveground-belowground effects",NA
"256","WOS256","Myers, Mark C.; Hoksch, Benjamin J.; Mason, James T.","Journal of Insect Conservation",2012,"16","3","457--472","Butterfly response to floral resources during early establishment at a heterogeneous prairie biomass production site in Iowa, USA","10.1007/s10841-011-9433-4"
"257","WOS257","Plath, Mirco; Dorn, Silvia; Riedel, Judith; Barrios, Hector; Mody, Karsten","Oecologia",2012,"169","2","477--487","Associational resistance and associational susceptibility: specialist herbivores show contrasting responses to tree stand diversification","10.1007/s00442-011-2215-6"
"258","WOS258","Reid, Joseph P.; Adair, E. Carol; Hobbie, Sarah E.; Reich, Peter B.","Ecosystems",2012,"15","4","580--590","Biodiversity, Nitrogen Deposition, and CO2 Affect Grassland Soil Carbon Cycling but not Storage","10.1007/s10021-012-9532-4"
"259","WOS259","de Oliveira Cardoso, Mércia; Pedrosa, Elvira M. R.; Rolim, Mário M.; e Silva, Ênio F. F.; de Barros, Patrícia A.","Environmental Monitoring and Assessment",2012,"184","6","3529--3544","Effects of soil mechanical resistance on nematode community structure under conventional sugarcane and remaining of Atlantic Forest","10.1007/s10661-011-2206-4"
"260","WOS260","Koch, Alexander M.; Antunes, Pedro M.; Klironomos, John N.","PLoS ONE",2012,"7","5","e36950","Diversity Effects on Productivity Are Stronger within than between Trophic Groups in the Arbuscular Mycorrhizal Symbiosis","10.1371/journal.pone.0036950"
"261","WOS261","Lawrence, Diane; Fiegna, Francesca; Behrends, Volker; Bundy, Jacob G.; Phillimore, Albert B.; Bell, Thomas; Barraclough, Timothy G.","PLoS Biology",2012,"10","5","e1001330","Species Interactions Alter Evolutionary Responses to a Novel Environment","10.1371/journal.pbio.1001330"
"262","WOS262","Gu, Menghe; Dong, Shikui; Wang, Tao; Xie, Zhongkui","Plant Species Biology",2012,"27","2","159--163","Interspecific interactions under fertilization among Elymus nutans, Festuca sinensis and Festuca ovina on the eastern Qinghai-Tibetan plateau","10.1111/j.1442-1984.2011.00348.x"
"263","WOS263","van Zuidam, Jeroen P.; Raaphorst, Ernst P.; Peeters, Edwin T.H.M.","Restoration Ecology",2012,"20","3","416--425","The Role of Propagule Banks from Drainage Ditches Dominated by Free-Floating or Submerged Plants in Vegetation Restoration","10.1111/j.1526-100X.2011.00784.x"
"264","WOS264","Zhang, Yu; Chen, Han Y. H.; Reich, Peter B.","Journal of Ecology",2012,"100","3","742--749","Forest productivity increases with evenness, species richness and trait variation: a global meta-analysis","10.1111/j.1365-2745.2011.01944.x"
"265","WOS265","Kipfer, Tabea; Wohlgemuth, Thomas; van der Heijden, Marcel G. A.; Ghazoul, Jaboury; Egli, Simon","PLoS ONE",2012,"7","4","e35275","Growth Response of Drought-Stressed Pinus sylvestris Seedlings to Single- and Multi-Species Inoculation with Ectomycorrhizal Fungi","10.1371/journal.pone.0035275"
"266","WOS266","Aquilino, Kristin M.; Stachowicz, John J.","Ecology",2012,"93","4","879--890","Seaweed richness and herbivory increase rate of community recovery from disturbance","10.1890/11-0457.1"
"267","WOS267","Zhu, Si-Xi; Zhang, Peili; Wang, Hai; Ge, Han-Liang; Chang, Jie; Chang, Scott; Qiu, Zhi; Shao, Hongbo; Ge, Ying","CLEAN - Soil, Air, Water",2012,"40","4","341--347","Plant Species Richness Affected Nitrogen Retention and Ecosystem Productivity in a Full-Scale Constructed Wetland","10.1002/clen.201100308"
"268","WOS268","Koh, Kai S.; Matz, Carsten; Tan, Chuan H.; Le, Hoang L.; Rice, Scott A.; Marshall, Dustin J.; Steinberg, Peter D.; Kjelleberg, Staffan","Molecular Ecology",2012,"21","7","1741--1753","Minimal increase in genetic diversity enhances predation resistance","10.1111/j.1365-294X.2011.05415.x"
"269","WOS269","Pontes, Laíse da Silveira; Maire, Vincent; Louault, Frédérique; Soussana, Jean-François; Carrère, Pascal","Oecologia",2012,"168","3","761--771","Impacts of species interactions on grass community productivity under contrasting management regimes","10.1007/s00442-011-2129-3"
"270","WOS270","Drummond, Emily B. M.; Vellend, Mark","PLoS ONE",2012,"7","2","e30314","Genotypic Diversity Effects on the Performance of Taraxacum officinale Populations Increase with Time and Environmental Favorability","10.1371/journal.pone.0030314"
"271","WOS271","Schultz, Rachel E.; Bouchard, Virginie L.; Frey, Serita D.","Aquatic Botany",2012,"97","1","1--9","Overyielding and the role of complementary use of nitrogen in wetland plant communities","10.1016/j.aquabot.2011.10.002"
"272","WOS272","Lei, Pifeng; Scherer-Lorenzen, Michael; Bauhus, Jürgen","Forest Ecology and Management",2012,"265",NA,"191--200","Belowground facilitation and competition in young tree species mixtures","10.1016/j.foreco.2011.10.033"
"273","WOS273","Li, Shao-Peng; Li, Jin-Tian; Kuang, Jia-Liang; Duan, Hong-Nan; Zeng, Yi; Shu, Wen-Sheng","Journal of Applied Ecology",2012,"49","1","261--267","Effects of species richness on cadmium removal efficiencies of algal microcosms","10.1111/j.1365-2664.2011.02091.x"
"274","WOS274","Vyver, Marius L.; Cowling, Richard M.; Campbell, Eileen E.; Difford, Mark","Applied Vegetation Science",2012,"15","1","26--34","Active restoration of woody canopy dominants in degraded South African semi-arid thicket is neither ecologically nor economically feasible","10.1111/j.1654-109X.2011.01162.x"
"275","WOS275","Ding, Xiaoqiu; Wang, Yongfan; Yu, Shixiao","Polish Journal of Ecology",2012,"60","4","667--675","No evidence for a positive response of biomass production to species diversity in an experimental grassland",NA
"276","WOS276","Flöder, Sabine; Hillebrand, Helmut","Aquatic Biology",2012,"17","3","197--209","Species traits and species diversity affect community stability in a multiple stressor framework","10.3354/ab00479"
"277","WOS277","Stockenreiter, Maria; Graber, Anne-Kathrin; Haupt, Florian; Stibor, Herwig","Journal of Applied Phycology",2012,"24","1","45--54","The effect of species diversity on lipid production by micro-algal communities","10.1007/s10811-010-9644-1"
"278","WOS278","Müller, Johann P.; Hauzy, Céline; Hulot, Florence D.","Journal of Animal Ecology",2012,"81","1","222--232","Ingredients for protist coexistence: competition, endosymbiosis and a pinch of biochemical interactions","10.1111/j.1365-2656.2011.01894.x"
"279","WOS279","Moore, Georgianne W.; Bond, Barbara J.; Jones, Julia A.","Forest Ecology and Management",2011,"262","12","2263--2270","A comparison of annual transpiration and productivity in monoculture and mixed-species Douglas-fir and red alder stands","10.1016/j.foreco.2011.08.018"
"280","WOS280","Xie, Jia; Hu, Liangliang; Tang, Jianjun; Wu, Xue; Li, Nana; Yuan, Yongge; Yang, Haishui; Zhang, Jiaen; Luo, Shiming; Chen, Xin","Proceedings of the National Academy of Sciences",2011,"108","50","E1381--E1387","Ecological mechanisms underlying the sustainability of the agricultural heritage rice-fish coculture system","10.1073/pnas.1111043108"
"281","WOS281","Schiebe, C.; Blaženec, M.; Jakuš, R.; Unelius, C. R.; Schlyter, F.","Journal of Applied Entomology",2011,"135","10","726--737","Semiochemical diversity diverts bark beetle attacks from Norway spruce edges","10.1111/j.1439-0418.2011.01624.x"
"282","WOS282","Picasso, Valentín D.; Brummer, E. Charles; Liebman, Matt; Dixon, Philip M.; Wilsey, Brian J.","Renewable Agriculture and Food Systems",2011,"26","4","317--327","Diverse perennial crop mixtures sustain higher productivity over time based on ecological complementarity","10.1017/S1742170511000135"
"283","WOS283","Roscher, Christiane; Weigelt, Alexandra; Proulx, Raphael; Marquard, Elisabeth; Schumacher, Jens; Weisser, Wolfgang W; Schmid, Bernhard","Journal of Ecology",2011,"99","6","1460--1469","Identifying population- and community-level mechanisms of diversity-stability relationships in experimental grasslands","10.1111/j.1365-2745.2011.01875.x"
"284","WOS284","Isbell, Forest I.; Wilsey, Brian J.","Plant Ecology",2011,"212","10","1663--1674","Rapid biodiversity declines in both ungrazed and intensely grazed exotic grasslands","10.1007/s11258-011-9939-6"
"285","WOS285","Karlson, Agnes M. L.; Näslund, Johan; Rydén, Sara Blomgren; Elmgren, Ragnar","Oecologia",2011,"166","4","1055--1065","Polychaete invader enhances resource utilization in a species-poor system","10.1007/s00442-011-1936-x"
"286","WOS286","Gamfeldt, Lars; Hillebrand, Helmut","PLoS ONE",2011,"6","7","e21972","Effects of Total Resources, Resource Ratios, and Species Richness on Algal Productivity and Evenness at Both Metacommunity and Local Scales","10.1371/journal.pone.0021972"
"287","WOS287","Vos, Veronique C. A.; van Ruijven, Jasper; Berg, Matty P.; Peeters, Edwin T. H. M.; Berendse, Frank","Oikos",2011,"120","7","1092--1098","Macro-detritivore identity drives leaf litter diversity effects","10.1111/j.1600-0706.2010.18650.x"
"288","WOS288","Hargrave, Chad W; Hambright, K. David; Weider, Lawrence J.","Ecology",2011,"92","6","1226--1235","Variation in resource consumption across a gradient of increasing intra- and interspecific richness","10.1890/09-1948.1"
"289","WOS289","Burgmer, Tanja; Hillebrand, Helmut","Oikos",2011,"120","6","922--933","Temperature mean and variance alter phytoplankton biomass and biodiversity in a long-term microcosm experiment","10.1111/j.1600-0706.2010.19301.x"
"290","WOS290","Potvin, Catherine; Mancilla, Lady; Buchmann, Nina; Monteza, Jose; Moore, Tim; Murphy, Meaghan; Oelmann, Yvonne; Scherer-Lorenzen, Michael; Turner, Benjamin L.; Wilcke, Wolfgang; Zeugin, Fabienne; Wolf, Sebastian","Forest Ecology and Management",2011,"261","10","1614--1624","An ecosystem approach to biodiversity effects: Carbon pools in a tropical tree plantation","10.1016/j.foreco.2010.11.015"
"291","WOS291","Roscher, Christiane; Kutsch, Werner L.; Kolle, Olaf; Ziegler, Waldemar; Schulze, Ernst Detlef","Annals of Botany",2011,"107","6","965--979","Adjustment to the light environment in small-statured forbs as a strategy for complementary resource use in mixtures of grassland species","10.1093/aob/mcr044"
"292","WOS292","Xu, Qicong; Fujiyama, Shizuo; Xu, Huilian","Journal of Food, Agriculture and Environment",2011,"9","2","455--463","Biological pest control by enhancing populations of natural enemies in organic farming systems",NA
"293","WOS293","Behl, Stephan; Donval, Anne; Stibor, Herwig","Limnology and Oceanography",2011,"56","2","683--694","The relative importance of species diversity and functional group diversity on carbon uptake in phytoplankton communities","10.4319/lo.2011.56.2.0683"
"294","WOS294","Mangan, Margaret E.; Sheaffer, Craig; Wyse, Donald L.; Ehlke, Nancy J.; Reich, Peter B.","Agronomy Journal",2011,"103","2","509","Native Perennial Grassland Species for Bioenergy: Establishment and Biomass Productivity","10.2134/agronj2010.0360"
"295","WOS295","Hughes, A. Randall; Stachowicz, John J.","Journal of Ecology",2010,"99","2","no--no","Seagrass genotypic diversity increases disturbance response via complementarity and dominance","10.1111/j.1365-2745.2010.01767.x"
"296","WOS296","Mayence, C. Ellery; Hester, Mark W.","Restoration Ecology",2011,"19","2","216--224","Assessment of a Multi-Species Planting Approach for Restoring Thick-Mat Floating Marsh, Louisiana, U.S.A.","10.1111/j.1526-100X.2009.00557.x"
"297","WOS297","Partzsch, Monika; Piesch, Christine; Hensen, Isabell","Folia Geobotanica",2011,"46","1","35--48","A Comparative Study of Germination Biology and Plant Performance in Two Dry Grassland Species","10.1007/s12224-010-9084-3"
"298","WOS298","Poltak, Steffen R.; Cooper, Vaughn S.","The ISME Journal",2011,"5","3","369--378","Ecological succession in long-term experimentally evolved biofilms produces synergistic communities","10.1038/ismej.2010.136"
"299","WOS299","Plath, Mirco; Mody, Karsten; Potvin, Catherine; Dorn, Silvia","Forest Ecology and Management",2011,"261","3","741--750","Establishment of native tropical timber trees in monoculture and mixed-species plantations: Small-scale effects on tree performance and insect herbivory","10.1016/j.foreco.2010.12.004"
"300","WOS300","Nyfeler, Daniel; Huguenin-Elie, Olivier; Suter, Matthias; Frossard, Emmanuel; Lüscher, Andreas","Agriculture, Ecosystems & Environment",2011,"140","1-2","155--163","Grass-legume mixtures can yield more nitrogen than legume pure stands due to mutual stimulation of nitrogen uptake from symbiotic and non-symbiotic sources","10.1016/j.agee.2010.11.022"
"301","WOS301","Partzsch, Monika","Flora - Morphology, Distribution, Functional Ecology of Plants",2011,"206","6","550--558","Does land use change affect the interactions between two dry grassland species?","10.1016/j.flora.2010.09.010"
